fy_ef,organization_id,organization,core_responsibility,program_id,program_name,planned_spending_1,actual_spending,planned_spending_2,planned_spending_3,planned_ftes_1,actual_ftes,planned_ftes_2,planned_ftes_3,planning_explanation,variance_explanation
FY 2022-23,305,Shared Services Canada,Internal Services,ISS05,Financial Management Services,45365449,.,37301159,36365813,249,.,245,245,,
FY 2022-23,305,Shared Services Canada,Internal Services,ISS06,Information Management Services,12835876,.,11941541,10007794,63,.,62,62,,
FY 2022-23,305,Shared Services Canada,Internal Services,ISS07,Information Technology Services,53673727,.,48024128,40137465,162,.,156,156,,
FY 2022-23,305,Shared Services Canada,Internal Services,ISS08,Real Property Management Services,21959804,.,20696154,20695218,33,.,31,31,,
FY 2022-23,305,Shared Services Canada,Internal Services,ISS09,Materiel Management Services,3243,.,3279,3283,0,.,0,0,,
FY 2022-23,305,Shared Services Canada,Internal Services,ISS0Z,Acquisition Management Services,17166738,.,10629225,10627873,190,.,188,188,,
FY 2022-23,306,Social Sciences and Humanities Research Council,Funding Social Sciences and Humanities Research and Training,BNT01,Insight Research,232115564,.,221285844,229527115,91,.,91,91,,
FY 2022-23,306,Social Sciences and Humanities Research Council,Funding Social Sciences and Humanities Research and Training,BNT02,Research Training and Talent Development,135899968,.,130630820,125017459,41,.,41,41,,
FY 2022-23,306,Social Sciences and Humanities Research Council,Funding Social Sciences and Humanities Research and Training,BNT03,Research Partnerships,108790959,.,102360836,85984052,49,.,49,49,"Planned spending is decreasing in Research Partnerships over the next three years due to the Race, Gender and Diversity Partnership grant funding received for 2022-23 and 2023-24 only, the phasing out of the Networks of Centres of Excellence for which funding is being transferred to the New Frontiers in Research Fund, the phasing out of the Centres of Excellence for Commercialisation and Research and the Business-Led Networks of Centres of Excellence which are being transferred to the Department of Innovation, Science and Economic Development and for the College and Community Innovation Program for which funding is transferred annually from the Natural Sciences and Engineering Research Council and is dependent on competition cycles.",
FY 2022-23,306,Social Sciences and Humanities Research Council,Funding Social Sciences and Humanities Research and Training,BNT04,New Frontiers in Research Fund,110883543,.,126784401,126772927,24,.,30,30,Funding from Budget 2018 for the New Frontiers in Research Fund is ramping up and includes the transfer of funding from the Networks of Centres of Excellence.,
FY 2022-23,306,Social Sciences and Humanities Research Council,Funding Social Sciences and Humanities Research and Training,BNT06,Canada Biomedical Research Fund,40153843,.,74652280,74647765,15,.,14,12,Grant funding for the Canada Biomedical Research is $39M for 2022-23 and increasing to $73.5M in 2023-24 and 2024-25. The planned FTE is decreasing over the three years proportionately to the decrease in salary funding received.,
FY 2022-23,306,Social Sciences and Humanities Research Council,Institutional support for the indirect costs of research,BNU01,Research Support Fund,428251306,.,428249526,428247211,5,.,5,5,,
FY 2022-23,306,Social Sciences and Humanities Research Council,Internal Services,ISS01,Management and Oversight Services,4325649,.,4232657,4183243,39,.,39,39,,
FY 2022-23,306,Social Sciences and Humanities Research Council,Internal Services,ISS02,Communications Services,1598569,.,1564203,1545942,11,.,12,12,,
FY 2022-23,306,Social Sciences and Humanities Research Council,Internal Services,ISS03,Legal Services,102467,.,100265,99094,0,.,0,0,Legal service activities are combined with many other activities and do not have any specific FTE planned for these activities exclusively.,
FY 2022-23,306,Social Sciences and Humanities Research Council,Internal Services,ISS04,Human Resources Management Services,1955234,.,1913201,1890865,14,.,15,15,,
FY 2022-23,306,Social Sciences and Humanities Research Council,Internal Services,ISS05,Financial Management Services,1246728,.,1219926,1205684,11,.,11,11,,
FY 2022-23,306,Social Sciences and Humanities Research Council,Internal Services,ISS06,Information Management Services,658009,.,643863,636346,5,.,5,5,,
FY 2022-23,306,Social Sciences and Humanities Research Council,Internal Services,ISS07,Information Technology Services,5648401,.,5526973,5462448,28,.,28,28,,
FY 2022-23,306,Social Sciences and Humanities Research Council,Internal Services,ISS08,Real Property Management Services,1582775,.,1548749,1530668,5,.,5,5,,
FY 2022-23,306,Social Sciences and Humanities Research Council,Internal Services,ISS09,Materiel Management Services,30487,.,29831,29483,0,.,0,0,Material management activities are combined with many other activities and do not have any specific FTE planned for these activities exclusively.,
FY 2022-23,306,Social Sciences and Humanities Research Council,Internal Services,ISS0Z,Acquisition Management Services,209224,.,204726,202336,2,.,2,2,,
FY 2022-23,313,Statistics Canada,Statistical Information,BNV01,Economic and Environmental Statistics,154377165,.,155909947,154159910,1497,.,1506,1489,"Statistics Canada is expecting to maintain its capacity in future years for the delivery of ongoing statistical programs, with no significant shifts in resources. Also reflected in all three years are planned resources for new initiatives from Budget 2021.",
FY 2022-23,313,Statistics Canada,Statistical Information,BNV02,Socio-economic Statistics,146869792,.,136827939,136586030,1464,.,1406,1418,"Statistics Canada is expecting to maintain its capacity in future years for the delivery of ongoing statistical programs, with no significant shifts in resources. Also reflected in all three years are planned resources for new initiatives from Budget 2021 for which funding slightly decreases from 2022–23 to 2023–24 and remains relatively the same in 2024-25.",
FY 2022-23,313,Statistics Canada,Statistical Information,BNV03,Censuses,54916153,.,8452877,1214983,538,.,119,54,Voted spending peaked in 2021-22 when the 2021 Census of Population and 2021 Census of Agriculture were conducted and wind down thereafter. This pattern is typical due to the cyclical nature of the Census Program. Funding for the 2026 Census of Population and the 2026 Census of Agriculture has not yet been approved which amplifies the decrease in the overall Census program funding.,
FY 2022-23,313,Statistics Canada,Statistical Information,BNV04,Cost-Recovered Statistical Services,13371253,.,12736660,12779935,1171,.,1123,1125,"Statistics Canada is funded by two sources: direct parliamentary appropriations and cost-recovery activities. Statistics Canada has the authority to generate $120 million annually in respendable revenue, related to two streams: statistical surveys and related services, and custom requests and workshops. A large portion of this respendable revenue comes from federal departments to fund specific statistical projects.

Planned net budgetary spending represents statutory funding attributed to the program.",
FY 2022-23,313,Statistics Canada,Statistical Information,BNV05,Centres of Expertise,127128994,.,126272932,130301748,1219,.,1233,1281,"Statistics Canada is expecting to maintain its capacity in future years for the delivery of ongoing statistical programs, with no significant shifts in resources. Also reflected in all three years are planned resources for new initiatives from Budget 2021. 

Planned resources include funding related to the Investment Planning cycle.",
FY 2022-23,313,Statistics Canada,Internal Services,ISS01,Management and Oversight Services,10802763,.,10644047,10077466,86,.,83,78,,
FY 2022-23,313,Statistics Canada,Internal Services,ISS02,Communications Services,2646121,.,2648845,2649315,27,.,27,27,,
FY 2022-23,313,Statistics Canada,Internal Services,ISS03,Legal Services,402825,.,402825,402825,0,.,0,0,,
FY 2022-23,313,Statistics Canada,Internal Services,ISS04,Human Resources Management Services,18459435,.,17521299,16085300,182,.,177,163,,
FY 2022-23,313,Statistics Canada,Internal Services,ISS05,Financial Management Services,15431337,.,15396926,15465188,145,.,145,145,,
FY 2022-23,313,Statistics Canada,Internal Services,ISS06,Information Management Services,4361693,.,4365719,4366413,37,.,37,37,,
FY 2022-23,313,Statistics Canada,Internal Services,ISS07,Information Technology Services,19773481,.,17098962,16345726,126,.,117,109,,
FY 2022-23,313,Statistics Canada,Internal Services,ISS08,Real Property Management Services,6365020,.,6331848,6343100,36,.,36,36,,
FY 2022-23,313,Statistics Canada,Internal Services,ISS09,Materiel Management Services,814009,.,808117,810230,10,.,10,10,,
FY 2022-23,313,Statistics Canada,Internal Services,ISS0Z,Acquisition Management Services,974208,.,975314,975505,10,.,10,10,,
FY 2022-23,326,Treasury Board Secretariat,Spending Oversight,BXA01,Oversight and Treasury Board Support,24430083,.,24282020,24282020,170,.,170,170,,
FY 2022-23,326,Treasury Board Secretariat,Spending Oversight,BXA02,"Expenditure Data, Analysis, Results, and Reviews",18088213,.,18088520,17877121,132,.,132,130,,
FY 2022-23,326,Treasury Board Secretariat,Spending Oversight,BXA04,Government-Wide Funds,4302305896,.,4175593000,4169693000,0,.,0,0,,
FY 2022-23,326,Treasury Board Secretariat,Administrative Leadership,BXB01,Financial Management Policies and Initiatives,18708197,.,15805264,15173304,105,.,86,86,"The decrease in planned spending and full-time equivalents (FTEs) from 2022-23 to 2023-24 in Financial Management Policies and Initiatives is associated with additional funding announced in 2020–21 for Phoenix stabilization and HR-to-Pay initiatives (Budget 2021), notably for the Government-Wide Claims Office, which is scheduled to sunset in 2022-23 and is subject to the renewal process.",
FY 2022-23,326,Treasury Board Secretariat,Administrative Leadership,BXB02,Digital Policy,14170776,.,14170776,14170776,99,.,99,99,,
FY 2022-23,326,Treasury Board Secretariat,Administrative Leadership,BXB03,"Digital Strategy, Planning, and Oversight",19817234,.,17524383,15086983,118,.,104,93,"The decrease in planned spending and full-time equivalents (FTEs) from 2022-23 to 2023-24 for Digital Strategy, Planning, and Oversight is mainly attributable to a reduction to the funding to Access to Information Review and Action Plan (Budget 2021), which is scheduled to sunset in 2023-24, and the funding for the Policy on COVID-19 Vaccination for the Core Public Administration including the Royal Canadian Mounted Police (off-cycle funding approved for two years starting 2021-22), which is scheduled to sunset in 2022-23.  Both initiatives are subject to the renewal process.

The decrease in planned spending and full-time equivalents (FTEs) from 2023-24 to 2024-25 for Digital Strategy, Planning, and Oversight is mainly attributable to the funding to Access to Information Review and Action Plan (Budget 2021), which is scheduled to sunset in 2022-23 and subject to the renewal process.",
FY 2022-23,326,Treasury Board Secretariat,Administrative Leadership,BXB04,Management Accountability Framework,1366810,.,1366810,1366810,9,.,9,9,,
FY 2022-23,326,Treasury Board Secretariat,Administrative Leadership,BXB05,Acquired Services and Assets Policies and Initiatives,10223452,.,9998450,8223455,62,.,62,50,"The decrease in planned spending and full-time equivalents (FTEs) from 2023-24 to 2024-25 for Acquired Services and Assets Policies and Initiatives is mainly attributable to the funding for the Centre of Expertise for Real Property, which is sunsetting in 2023-24 and a reduction to the funding for the Government Contracts, Including Real Property Leases, in the Nunavut Settlement Area.  Both initiatives are subject to the renewal process.",
FY 2022-23,326,Treasury Board Secretariat,Administrative Leadership,BXB06,Digital Comptrollership Program,8211632,.,8048766,8048766,13,.,13,13,,
FY 2022-23,326,Treasury Board Secretariat,Administrative Leadership,BXB07,Internal Audit Policies and Initiatives,6567032,.,6567032,6567032,52,.,52,52,,
FY 2022-23,326,Treasury Board Secretariat,Administrative Leadership,BXB08,Communications and Federal Identity Policies and Initiatives,933789,.,933789,933789,16,.,16,16,,
FY 2022-23,326,Treasury Board Secretariat,Administrative Leadership,BXB09,Canadian Digital Service,19542717,.,19505717,19505717,108,.,108,108,,
FY 2022-23,326,Treasury Board Secretariat,Administrative Leadership,BXB10,Greening Government Operations,9446341,.,22768648,45215950,11,.,11,11,The increase of planned spending for Greening Government Operations from 2022-23 to 2024-25 is attributable to the funding to implement a federal Low Carbon Fuel Procurement Program and the renewal of the funding for the Greening Government Fund.,
FY 2022-23,326,Treasury Board Secretariat,Administrative Leadership,BXB11,Public Service Accessibility,4459206,.,3735483,0,19,.,19,0,"The decrease of planned spending from 2022-23 to 2023-24 for Public Service Accessibility is mainly due to the reprofiling of funds in the Centralized Enabling Workplace Fund from 2019-20 to 2022-23. 

The decrease of planned spending and full-time equivalents (FTEs) from 2023-24 to 2024-25 for Public Service Accessibility is mainly attributable to the sunsetting of Funding to renew the Office of Public Service Accessibility (Budget 2021) and the Funding for the Centralized Enabling Workplace Fund.  Both initiatives are subject to the renewal process.",
FY 2022-23,326,Treasury Board Secretariat,Employer,BXC01,Employee Relations and Total Compensation,34902686,.,29671938,25012046,180,.,142,138,"The decrease in planned spending and full-time equivalents (FTEs) from 2022-23 to 2023-24 for Employment Conditions and Labour Relations is mainly attributable to the funding to advance public service job classification (Budget 2021) starting in 2021-22 for two years, the funding for the Policy on COVID-19 Vaccination for the Core Public Administration including the Royal Canadian Mounted Police (off-cycle funding approved for two years starting 2021-22), and additional funding announced in 2020–21 for Phoenix stabilization and HR-to-Pay initiatives (Budget 2021).  All initiatives are subject to the renewal process.

The decrease in planned spending and full-time equivalents (FTEs) from 2023-24 to 2024-25 for Employment Conditions and Labour Relations is mainly attributable to the funding announced in the Budget 2019 for the Pay Equity initiative sunsetting in 2024-25 and is subject to the renewal process.",
FY 2022-23,326,Treasury Board Secretariat,Employer,BXC02,Pension and Benefits Management,4221417,.,4147093,3931093,70,.,70,70,,
FY 2022-23,326,Treasury Board Secretariat,Employer,BXC03,Workplace Policies and Services,18362418,.,14468768,14468768,118,.,104,104,The decrease of planned spending and full-time equivalents (FTEs) from 2022-23 to 2023-24 for Workplace Policies and Services is attributable to the funding announced in the 2020 Fall Economic Statement to Foster a diverse and inclusive public service initiative that is scheduled to sunset at the end of 2022-23 and is subject to the renewal process.,
FY 2022-23,326,Treasury Board Secretariat,Employer,BXC04,Public Service Employer Payments,3196350787,.,3355826325,3525791869,0,.,0,0,The increase of planned spending from 2022-23 to 2024-25 for Public Service Employer Payments is attributable to the approved additional funding for the Public Service Insurance Plans to ensure financial sustainability of the public service group insurance plans and programs.,
FY 2022-23,326,Treasury Board Secretariat,Employer,BXC05,Executive and Leadership Development,9951042,.,7836118,7836118,60,.,41,41,The decrease of planned spending and full-time equivalents (FTEs) from 2022-23 to 2023-24 for Executive and Leadership Development is attributable to the funding for the Joint Learning Program and to the funding announced in the 2020 Fall Economic Statement to Foster a diverse and inclusive public service initiative that are both scheduled to sunset at the end of 2022-23.  Both initiatives are subject to the renewal process.,
FY 2022-23,326,Treasury Board Secretariat,Employer,BXC06,People Management Systems and Processes,17780682,.,1144169,1144169,79,.,6,6,"The decrease in planned spending and full-time equivalents (FTEs) from 2022-23 to 2023-24 in People Management Systems and Processes is mainly associated with additional funding announced in 2020–21 for Phoenix stabilization and HR-to-Pay initiatives (Budget 2021), which is scheduled to sunset in 2022-23 and is subject to the renewal process.",
FY 2022-23,326,Treasury Board Secretariat,Employer,BXC07,"Research, Planning and Renewal",9101494,.,8328654,8328654,59,.,53,53,,
FY 2022-23,326,Treasury Board Secretariat,Regulatory Oversight,BXD01,"Regulatory Policy, Oversight, and Cooperation",11716665,.,9899265,9898889,73,.,59,59,"The decrease of planned spending and full-time equivalents (FTEs) from 2022-23 to 2023-24 for Regulatory Policy, Oversight, and Cooperation is mainly attributable to the Funding for regulatory reviews and the External Advisory Committee on Regulatory Competitiveness, which is scheduled to sunset in 2022-23 and is subject to the renewal process.",
FY 2022-23,326,Treasury Board Secretariat,Internal Services,ISS01,Management and Oversight Services,19896858,.,19984920,20003859,155,.,155,155,,
FY 2022-23,326,Treasury Board Secretariat,Internal Services,ISS02,Communications Services,11299967,.,10685472,10474276,88,.,85,85,,
FY 2022-23,326,Treasury Board Secretariat,Internal Services,ISS03,Legal Services,12918940,.,11791598,11796756,30,.,26,26,The decrease of planned spending from 2022-23 to 2023-24 for Legal Services is mainly attributable to the sunsetting of corporate costs funding related to the Policy on COVID-19 Vaccination for the Core Public Administration including the Royal Canadian Mounted Police (off-cycle funding approved for two years starting 2021-22).,
FY 2022-23,326,Treasury Board Secretariat,Internal Services,ISS04,Human Resources Management Services,12468380,.,12039366,11809413,114,.,114,114,,
FY 2022-23,326,Treasury Board Secretariat,Internal Services,ISS05,Financial Management Services,9383614,.,9383614,9383615,102,.,102,102,,
FY 2022-23,326,Treasury Board Secretariat,Internal Services,ISS06,Information Management Services,7789321,.,6595508,5772455,24,.,24,24,The decrease of planned spending from 2022-23 to 2024-25 for Information Management Services is mainly attributable to a reduction of funding for corporate costs as a result of various sunsetting initiatives.,
FY 2022-23,326,Treasury Board Secretariat,Internal Services,ISS07,Information Technology Services,14335869,.,14092869,14092869,102,.,102,103,,
FY 2022-23,326,Treasury Board Secretariat,Internal Services,ISS08,Real Property Management Services,2601981,.,2601981,2600709,15,.,15,15,,
FY 2022-23,326,Treasury Board Secretariat,Internal Services,ISS09,Materiel Management Services,1261435,.,1261435,1263420,9,.,9,9,,
FY 2022-23,326,Treasury Board Secretariat,Internal Services,ISS0Z,Acquisition Management Services,1040772,.,1040771,1040771,10,.,10,10,,
FY 2022-23,333,Veterans Review and Appeal Board,Appeals,BWL01,Review and Appeal,11256654,.,11256654,11256654,101,.,101,101,"Over the planning period 2022-23 to 2024-25, the Board’s planned spending and planned resources are relatively unchanged.",
FY 2022-23,345,Secretariat of the National Security and Intelligence Committee of Parliamentarians,Parliamentary Review of National Security and Intelligence Activities,BUE01,Reviews,2866751,.,2866751,2866751,9,.,9,9,,
FY 2022-23,345,Secretariat of the National Security and Intelligence Committee of Parliamentarians,Internal Services,ISS00,Internal Services,784505,.,784505,784505,1,.,1,1,,
FY 2022-23,347,Invest in Canada Hub,Foreign Direct Investment Attraction,BCZ01,Data Partnerships and Pan-Canadian Collaboration,3670382,.,3712970,3712970,15,.,15,15,,
FY 2022-23,347,Invest in Canada Hub,Foreign Direct Investment Attraction,BCZ02,Marketing,18614080,.,18830062,18830062,15,.,15,15,,
FY 2022-23,347,Invest in Canada Hub,Foreign Direct Investment Attraction,BCZ03,Investor Services,3932552,.,3978182,3978182,27,.,27,27,,
FY 2022-23,347,Invest in Canada Hub,Internal Services,ISS00,Internal Services,7394542,.,7480342,7480342,10,.,10,10,,
FY 2022-23,348,Department of Indigenous Services,Services and Benefits to Individuals,BXL01,Supplementary Health Benefits,2123017564,.,1909363003,1941227118,469,.,469,469,"Financials:
* Sunset (at the end of 2022-23) of program integrity funding for non-insured health benefits for First Nations and Inuit (Budget 2021)
* Increase in funding as an allocation of funding (starting in 2023-24) is no longer required to support the implementation of _British Columbia Tripartite Framework Agreement on First Nation Health Governance_ for the transfer to the First Nations Health Authority
* Net increase in other funding for the non-insured health benefits for First Nations and Inuit",
FY 2022-23,348,Department of Indigenous Services,Services and Benefits to Individuals,BXL02,Clinical and Client Care,379864427,.,386769422,386438981,749,.,793,803,"Financials:
* Increase in funding as an allocation of funding (starting in 2023-24) is no longer required to support the implementation of the _British Columbia Tripartite Framework Agreement on First Nation Health Governance_ for the transfer to the First Nations Health Authority
* Increase in funding for a mercury care home and a water treatment facility for Asubpeeschoseewagong Netum Anishinabek, and a mercury wellness centre for Wabaseemoong Independent Nations
* Sunset (at the end of 2022-23) of funding to support medical transportation in Nunavut
* Net increase in other funding for the Clinical and Client Care program

FTEs:
The increase from 2022-23 through 2024-25 is due to new funding approved for this program.",
FY 2022-23,348,Department of Indigenous Services,Services and Benefits to Individuals,BXL03,Community Oral Health Services,27674712,.,14062296,14062296,95,.,10,10,"Financials:
Primarily reflect:
* an allocation of funding from the Healthy Child Development and Healthy Living programs  to the Community Oral Health Services program is not taken place starting in 2023-24

FTEs:
Decrease in 2023-24 is due to a transfer to Health Living and Healthy Child Development.",
FY 2022-23,348,Department of Indigenous Services,Services and Benefits to Individuals,BXL04,Individual Affairs,40236551,.,33223922,33225589,391,.,336,336,"Financials:
Primarily reflect:
* sunset (at the end of 2022-23) of funding to address sex-based inequities in Indian status registration

FTEs:
From 2022-23 onwards the variance is due to the reduction related to Funding to address sex-based inequities in Indian status resolved by the removal of the 1951 cut-off.",
FY 2022-23,348,Department of Indigenous Services,Health and Social Services,BXM01,Jordan's Principle and the Inuit Child First Initiative,822874510,.,57422034,656069,252,.,9,0,"Financials:
Primarily reflect:
* sunset (at the end of 2022-23) of funding for the continued implementation of Jordan’s Principle
* sunset (at the end of 2023-24) of funding to support Inuit Child First Initiative

FTEs:
Decrease in 2023-24 is due to the sunset of First Nation funding.",
FY 2022-23,348,Department of Indigenous Services,Health and Social Services,BXM02,Mental Wellness,545693109,.,641570176,464163389,170,.,170,122,"Financials:
* Sunset (at the end of 2023-24) of funding for mental health and wellness (Budget 2021)
* Sunset (at the end of 2023-24) of funding for Indigenous distinctions-based mental wellness (Budget 2021)
* Net increase in other funding for the Mental Wellness program
* Increase in funding as an allocation of funding (starting in 2023-24) is no longer required to support the implementation of  the British Columbia Tripartite Framework Agreement on First Nation Health Governance for the transfer to the First Nations Health Authority

FTEs:
Decrease in 2024-25 is due to the sunset of Indian Residential Schools, Missing and Murdered Indigenous Women and Girls, and Indian Day School programs.",
FY 2022-23,348,Department of Indigenous Services,Health and Social Services,BXM03,Healthy Living,65372245,.,87066618,87472682,72,.,129,129,"Financials:
Primarily reflect:
* an allocation of funding from the Healthy Living program to the Community Oral Health Services program is not taken place starting in 2023-24
* an increase in funding for a mercury care home and a water treatment facility for Asubpeeschoseewagong Netum Anishinabek, and a mercury wellness centre for Wabaseemoong Independent Nations
* an increase in funding related to health programs for Aboriginal populations (Upstream) 

FTEs:
Increase in 2023-24 is due to a transfer from Community Oral Health.",
FY 2022-23,348,Department of Indigenous Services,Health and Social Services,BXM04,Healthy Child Development,258934754,.,335794012,353843170,86,.,114,114,"Financials:
Primarily reflect:
* an increase in funding to establish a Canada-wide early learning and child care system 
* an increase in funding as an allocation of funding (starting in 2023-24) is no longer required to support the implementation of  the British Columbia Tripartite Framework Agreement on First Nation Health Governance for the transfer to the First Nations Health Authority
* sunset (at the end of 2023-24) of funding to address anti-Indigenous racism in health care (Budget 2021)

FTEs:
Increase in 2023-24 is due to a transfer from Community Oral Health.",
FY 2022-23,348,Department of Indigenous Services,Health and Social Services,BXM05,Home and Community Care,141691274,.,152340382,151934995,61,.,61,61,"Financials:
Primarily reflect:
* an increase in funding for a mercury care home and a water treatment facility for Asubpeeschoseewagong Netum Anishinabek and a mercury wellness centre for Wabaseemoong Independent Nations",
FY 2022-23,348,Department of Indigenous Services,Health and Social Services,BXM06,Health Human Resources,7724198,.,10831739,5631739,8,.,8,8,"Financials:
Primarily reflect: 
* sunset (at the end of 2023-24) of funding to address anti-Indigenous racism in health care (Budget 2021)
* an increase in funding related to health programs for Aboriginal populations (Upstream)",
FY 2022-23,348,Department of Indigenous Services,Health and Social Services,BXM07,Environmental Public Health,67449091,.,75987919,78914018,203,.,202,202,"Financials:
* net increase in funding for the Environmental Public Health program
* an increase in funding as an allocation of funding (starting in 2023-24) is no longer required to support the implementation of  the British Columbia Tripartite Framework Agreement on First Nation Health Governance for the transfer to the First Nations Health Authority",
FY 2022-23,348,Department of Indigenous Services,Health and Social Services,BXM08,Communicable Disease Control and Management,106659960,.,114656943,121494246,201,.,200,200,"Financials:
Primarily reflect:  
* an increase in funding as an allocation of funding (starting in 2023-24) is no longer required to support the implementation of  the British Columbia Tripartite Framework Agreement on First Nation Health Governance for the transfer to the First Nations Health Authority
* an increase in funding for a transfer with the Department of Crown-Indigenous Relations and Northern Affairs for modern treaty and self-governing groups for health-related programming and activities",
FY 2022-23,348,Department of Indigenous Services,Health and Social Services,BXM09,Education,2851947033,.,2817922466,2757202556,356,.,356,356,"Financials:
Primarily reflect:
* sunset (at the end of 2022-23) of funding for income assistance, case management, and pre-employment supports to individuals and families living on reserve (Budget 2021)",
FY 2022-23,348,Department of Indigenous Services,Health and Social Services,BXM10,Income Assistance,1149883132,.,881039204,921834069,61,.,61,61,"Financials:
Primarily reflect:
* sunset (at the end of 2022-23) of funding to support students and youth (COVID-19)",
FY 2022-23,348,Department of Indigenous Services,Health and Social Services,BXM11,Assisted Living,70082619,.,74604315,79393902,21,.,21,21,"Financials:
* Net increase in funding for the Assisted Living program",
FY 2022-23,348,Department of Indigenous Services,Health and Social Services,BXM12,First Nations Child and Family Services,21995077692,.,1988650941,2028853977,195,.,203,198,"Financials:
Primarily reflect:
* sunset (at the end of 2022-23) of funding for out-of-court settlements
* a net increase in funding for Child and Family Services

FTEs:
The increase in FTEs from 2022-23 to 2023-24 is due to the funding approved to implement the C-92 Act and the decrease in FTEs from 2023-24 to 2024-25 is due to the sunset of Compensation funding.",
FY 2022-23,348,Department of Indigenous Services,Health and Social Services,BXM13,Family Violence Prevention,104911653,.,141628553,168764462,28,.,28,28,"Financials:
Primarily reflect:
* an increase in funding for the construction and operation of shelters and transition houses for Indigenous women, children and 2SLGBTQQIA+ people",
FY 2022-23,348,Department of Indigenous Services,Health and Social Services,BXM14,Urban Programming for Indigenous Peoples,156611429,.,143366121,54461963,32,.,32,32,"Financials:
Primarily reflect:
* a decrease in funding for infrastructure in Indigenous communities (Budget 2021)
* a decrease in funding for Urban Programming for Indigenous Peoples service providers
* sunset (at the end of 2023-24) of funding for Indigenous distinctions-based mental wellness (Budget 2021)",
FY 2022-23,348,Department of Indigenous Services,Governance and Community Development Services,BXP01,Health Facilities,285624952,.,283592050,261279409,36,.,34,31,"Financials:
• Net decrease in funding for the Health Facilities program",
FY 2022-23,348,Department of Indigenous Services,Governance and Community Development Services,BXP02,e-Health Infostructure,28175513,.,30499485,30499485,55,.,55,55,"Financials:
Primarily reflect an increase in funding as an allocation of funding (starting in 2023-24) is no longer required to support the implementation of  the British Columbia Tripartite Framework Agreement on First Nation Health Governance for the transfer to the First Nations Health Authority.",
FY 2022-23,348,Department of Indigenous Services,Governance and Community Development Services,BXP03,"Health Planning, Quality Management and Systems Integration",200364795,.,260278500,219687173,95,.,91,86,"Financials:
• Net increase in funding for the Health Planning, Quality Management and Systems Integration program",
FY 2022-23,348,Department of Indigenous Services,Governance and Community Development Services,BXP04,Indigenous Governance and Capacity,308927127,.,252104276,250587701,371,.,366,366,"Financials:
Primarily reflect: 
* sunset (at the end of 2022-23) of funding for the modernization of Indigenous governance and capacity (Budget 2021)",
FY 2022-23,348,Department of Indigenous Services,Governance and Community Development Services,BXP05,Water and Wastewater,3145918431,.,924585155,425414042,144,.,144,31,"Financials:
Primarily reflect:
* a decrease in funding for out-of-court settlements
* sunset (at the end of 2023-24) of water and wastewater funding for infrastructure in Indigenous communities (Budget 2021)
* a decrease in funding to improve access to safe, clean drinking water in First Nation communities

FTEs:
In 2024-25 variance is due to the sunsetting of FTEs related to Funding for infrastructure in Indigenous communities (Budget 2021).",
FY 2022-23,348,Department of Indigenous Services,Governance and Community Development Services,BXP06,Education Facilities,394973865,.,255361669,104235881,47,.,47,12,"Financials:
Primarily reflect:
* a decrease in funding for infrastructure in Indigenous communities (Budget 2021)

FTEs:
In 2024-25 variance is due to the sunsetting of FTEs related to Funding for infrastructure in Indigenous communities (Budget 2021).",
FY 2022-23,348,Department of Indigenous Services,Governance and Community Development Services,BXP07,Housing,351312917,.,334657921,127743314,46,.,44,12,"Financials:
Primarily reflect:
* sunset (at the end of 2023-24) of housing funding for infrastructure in Indigenous communities (Budget 2021)

FTEs:
In 2024-25 variance is due to the sunsetting of FTEs related to Funding for infrastructure in Indigenous communities (Budget 2021).",
FY 2022-23,348,Department of Indigenous Services,Governance and Community Development Services,BXP08,Other Community Infrastructure and Activities,938317174,.,961357040,1583756472,185,.,171,120,"Financials:
Primarily reflect:
* a net increase in funding related to the Northern Ontario Grid Connection Project

FTEs:
In 2023-24, variance is due to the sunsetting of FTEs related to infrastructure projects in Indigenous communities. In 2024-25, variance is due to Internal reallocation to other asset classes.",
FY 2022-23,348,Department of Indigenous Services,Governance and Community Development Services,BXP09,Emergency Management Assistance,105129918,.,109686080,99294361,34,.,34,32,"Financials:
Primarily reflect:
* sunset (at the end of 2023-24) of funding for an Emergency Management Strategy for ensuring better disaster management in Canada
* an increase in funding for emergency response and recovery activities",
FY 2022-23,348,Department of Indigenous Services,Governance and Community Development Services,BXP10,Indigenous Entrepreneurship and Business Development,93775676,.,94640615,53698618,47,.,47,43,"Financials:
Primarily reflect:
* sunset (at the end of 2023-24) of funding to support Indigenous-led businesses (Budget 2021)
* sunset (at the end of 2022-23) of funding to expand the Aboriginal Entrepreneurship Program 
* sunset (at the end of 2023-24) of funding for the Métis Capital Corporations 

FTEs:
In 2024-25, variance is due to the sunsetting of FTEs previously funded to support Indigenous led businesses (Budget 2021) and for creating additional opportunities in federal procurement.",
FY 2022-23,348,Department of Indigenous Services,Governance and Community Development Services,BXP11,Economic Development Capacity and Readiness,107527233,.,96970614,85408222,126,.,126,119,"Financials:
Primarily reflect:
* sunset (at the end of 2023-24) of funding for clean energy projects in First Nations, Inuit, and Métis communities (Budget 2021)
* a decrease in funding resulting from the transfer from the Department of Transport for the Arctic Gateway Initiative for  2022-23 only

FTEs:
In 2024-25, variance is due to sunsetting of FTEs previously funded through the National Indigenous Green Energy Initiative (Budget 2021).",
